IDENTIFIER,probID,GSM152804,GSM152805,GSM152806,GSM152807,GSM152808,GSM152809,GSM152810,GSM152811,GSM152812,GSM152813,GSM152814,GSM152815,GSM152816,GSM152817,GSM152818,GSM152819,GSM152820,GSM152821
NTS,33998_at,2.029748996,1.140146194,4.208763397,4.087164332,2.909875582,0.998060793,5.493109219,2.57624547,1.944579261,3.307771345,1.712740554,1.045580684,2.596703315,4.089967361,5.389039588,2.570851212,2.342768861,4.939708223
LOC90925,33999_f_at,2.887772551,4.117467396,6.039570654,3.975578759,5.148917462,2.634942695,5.44106413,3.310684766,5.599899184,4.431608467,3.468543258,4.648779476,2.596703315,4.203857111,5.147288174,5.652463816,5.666594738,2.274428392
CAV2,339_at,5.859927752,8.248966052,7.018532025,5.763038412,6.289586988,5.577590769,6.947112496,6.293254594,6.595512928,7.191710194,6.869821982,6.832551169,7.059816373,6.34908983,6.991900189,7.137063912,7.062624995,6.203658195
LOC90925,34000_r_at,4.542775267,1.401683108,3.478182419,2.613001657,4.482651027,3.496035729,5.937791399,4.05113291,0.256150155,0.239032249,0.823066468,1.112342583,0.099209521,1.576221451,3.10956763,4.280172424,2.715174199,1.323253409
ZNF204P,34001_at,4.860521037,5.310305357,6.537920201,4.385715885,2.650587625,6.101116559,3.261617068,5.307254321,5.720731783,5.28347964,4.919677429,5.863135324,5.957735113,4.885317222,4.967917497,4.227236412,5.873759792,5.528986155
HSD3B2,34002_at,5.836983798,5.281633165,6.336155768,5.589358997,5.55064878,5.669807649,6.467657194,4.605402873,5.063217293,4.622477113,4.995555449,5.536172822,5.527605173,5.503645932,5.467387154,4.948082135,5.871701464,5.955946832
TPI1,34003_at,9.057884564,10.04791875,9.0242061,9.677491562,9.943698987,9.914314399,8.741540135,9.744895857,9.636983403,9.737009233,9.993503674,9.527242234,9.447451603,9.807826685,9.765550743,9.027677282,9.506531691,9.398034592
MPL,34004_at,4.215929481,3.3990099,3.217982899,3.102831064,3.099608134,4.731543326,3.057599778,5.761557795,3.038066192,3.807763006,3.990411766,2.673863002,3.751701703,4.792109211,2.49978897,3.43942419,2.715174199,3.057039281
PIGR,34005_at,6.449854071,7.380193246,6.677672231,7.33864016,7.732330876,7.870681039,8.68156995,8.437202467,7.22065817,6.943629223,6.781424917,7.748258246,7.679046774,7.987286708,7.017977037,7.849989393,7.914093972,7.556184332
MAPK8,34006_s_at,7.027374907,5.159539765,6.536111735,6.356532425,5.676568521,7.323076863,7.079654388,5.21891625,6.13746608,5.828419695,4.962068019,6.585622642,5.644503678,6.494278816,5.251169723,4.166097989,5.806975905,6.537920201
GRM8,34007_at,3.560165981,1.991269636,3.132484241,1.972149263,3.163250091,2.004374167,4.147674576,2.343128279,1.459492297,1.241175514,2.275794237,3.850348428,1.254800702,4.655033582,1.392497295,1.450669295,2.809618093,1.48437676
REM1,34008_at,5.677797898,7.174844898,7.726850637,5.042170475,6.182361479,5.39522048,6.082828123,7.060892522,5.913904961,6.732562432,6.970416098,6.995537316,5.456200019,7.395187584,5.519257335,7.135271801,7.764553528,7.36477452
CTAG2,34009_at,4.962845862,4.504191723,4.163894476,2.80839441,5.688522777,4.672534804,3.516817514,3.103826726,2.692502817,4.539931564,3.16967913,4.981596786,3.16148392,3.502175433,4.457122484,4.588491852,5.990691146,4.676545727
ARHGAP22,34010_at,5.509595152,6.054175642,6.390092845,5.404685987,5.884718838,5.38297508,5.023602292,5.743455371,5.041582527,5.326041673,4.805075553,4.772647806,3.991307231,3.739518397,5.806748414,6.311608432,5.756030504,4.81633432
HRK,34011_at,6.149677923,6.657420883,7.24581932,6.562349387,5.105943472,7.06615537,8.050176883,6.871582952,6.577535377,6.756705533,5.836983798,6.495845102,5.869870863,5.955320845,6.036737547,6.082828123,6.448240741,6.882628874
KRT34,34012_at,4.776116599,5.426076296,3.725019141,3.636119493,1.501619069,5.748518357,6.672293102,5.054423936,5.448578302,4.858780974,4.811870539,3.013727979,2.974366266,4.885317222,3.89966381,5.285080996,2.860370488,4.995105605
POU1F1,34013_f_at,5.071018503,5.069279107,3.831445334,2.134958928,4.898387619,1.824903934,1.918744383,1.963842273,1.394755183,2.50917057,0.227047322,4.379961122,3.113388976,3.964587189,5.391615016,2.038349672,2.860370488,3.428176099
POU1F1,34014_f_at,2.626351464,5.159539765,3.818577598,4.928024242,4.581330936,2.104032497,5.007172032,4.658253732,1.135800007,1.773633114,2.342768861,3.789533135,3.183876192,2.383209757,3.539859583,3.183876192,2.055886906,2.274428392
PTGFR,34015_at,3.901895465,5.909820997,4.407757329,5.258778277,5.875722547,4.247426771,5.870207082,5.776546713,3.517975157,3.714658373,4.910733813,3.574597991,2.544224545,6.373540909,5.994396133,5.729376251,3.786122703,5.129154339
ABCC1,34016_s_at,7.597727658,7.434967134,6.860109823,7.785728823,7.440433108,6.979814256,7.880112878,7.53944446,6.729753942,7.317392398,7.745523118,7.84117009,6.586732183,6.715852338,6.740143598,7.424077033,6.918238622,6.835228202
ABCC1,34017_s_at,5.071018503,6.368660167,3.766398457,5.537241344,3.649061426,4.635324372,3.715965629,4.593295892,3.879414356,5.39892226,6.677434309,3.890998109,5.581821396,3.877823896,3.925102579,6.567788131,5.075448796,5.215900622
COL19A1,34018_at,5.227976758,6.036737547,5.586209142,6.335500912,6.76087745,6.782759022,6.987186314,6.623238273,5.76559451,5.427414519,5.424412361,5.777261642,4.879229256,6.784809476,6.711852983,6.381214819,4.076431372,5.621857188
CHRNA3,34019_at,1.61519453,2.948358225,3.687288908,2.01829227,2.681397302,1.824903934,2.38148604,3.035512624,2.599998364,2.854296319,2.200438641,2.796001699,3.574597991,2.383209757,3.240492826,2.038349672,3.319708944,3.596340662
AVP,34020_at,2.699406776,3.448594818,1.494554163,1.972149263,3.099608134,3.009434347,2.94934167,3.237029169,2.373847397,2.741431855,2.948358225,3.369671264,3.647730226,2.453294172,2.626351464,3.494659512,3.517689926,3.326636398
IL2,34021_at,3.80424381,5.708267018,4.927064463,5.225682016,3.27752978,4.486966404,2.735444891,4.399065829,4.236657356,4.539931564,4.691247079,2.214401077,5.432226052,4.962611848,5.300067103,2.38148604,5.860973526,4.798202452
CXCL3,34022_at,4.582914983,5.373253095,2.60585649,3.876646887,5.79452624,5.061148256,6.748566397,3.885548769,4.431385208,4.91783735,4.648779476,3.472408893,5.908794611,5.824009483,3.593806914,6.036737547,4.898776454,2.977554759
FCER1A,34023_at,2.150902052,4.407541291,3.888815197,2.902489718,2.755916496,2.745631456,2.338135113,5.843602643,2.742701755,2.919535576,4.487289572,4.648779476,3.909944532,2.552429796,5.025212457,4.391539961,5.144620915,4.537247478
CLCN5,34024_at,4.014094858,4.140582302,3.516817514,4.233995173,6.177570696,6.064530305,5.373980493,6.111410796,5.419247795,5.659691677,4.184455932,4.939235804,3.921349131,6.37934123,3.938568606,5.23582568,3.95219078,3.89145245
GABRA6,34025_at,2.246269098,2.299122334,4.572345242,1.389780095,1.133744435,2.508231585,1.014808041,1.619041325,1.524843301,4.028505789,2.49978897,1.866582519,0.823066468,1.484979401,2.684070962,0.976693968,1.375752208,5.076580657
U79295,34026_at,3.935030385,5.353274605,4.225403018,5.096720844,4.375804128,3.691426142,6.75616173,6.399417098,5.647777232,5.354336898,3.602670655,4.738079402,3.859458514,3.206504243,5.179855137,5.178429541,6.510691502,5.962611647
HIST2H4B,34027_f_at,8.314447186,5.024474055,6.476906154,8.7330848,6.827248082,8.747114226,4.800595289,4.719327972,8.484209953,7.150186403,8.303389415,8.230040049,5.825401806,5.194047451,4.724315237,6.350218975,5.662448453,7.41030758
